report_year,states_name,Average of average_income,Average of average_register,Average of age_used
2016,Australian Capital Territory,1361.75,0.71524222,11.07777778
2016,New South Wales,1195,0.695010693,12.02222222
2016,Northern Territory,1392.55,0.641966314,11.71111111
2016,Queensland,1119.6,0.795476592,11.34444444
2016,South Australia,1050.1,0.796745528,13.37777778
2016,Tasmania,966,0.884283324,14.94444444
2016,Victoria,1101.85,0.758335747,12.93333333
2016,Western Australia,1323.65,0.864174887,13.54444444
2017,Australian Capital Territory,1392.5,0.717512287,10.94444444
2017,New South Wales,1213.95,0.700206636,11.98888889
2017,Northern Territory,1422.1,0.627682139,12.07777778
2017,Queensland,1134.35,0.801230977,11.55555556
2017,South Australia,1078.3,0.803982544,13.63333333
2017,Tasmania,1019.9,0.898656228,15.15555556
2017,Victoria,1140.95,0.758999691,12.87777778
2017,Western Australia,1332.85,0.862130773,13.83333333
2018,Australian Capital Territory,1448.35,0.719750511,10.99888889
2018,New South Wales,1251.5,0.704043449,11.58222222
2018,Northern Territory,1382.95,0.657740288,12.20888889
2018,Queensland,1183.35,0.807544939,11.61666667
2018,South Australia,1076.55,0.811366596,13.59777778
2018,Tasmania,1042.25,0.910347948,15.25555556
2018,Victoria,1181,0.761841152,12.79444444
2018,Western Australia,1309.85,0.860219083,14.10555556
2019,Australian Capital Territory,1436.85,0.724541093,11.08888889
2019,New South Wales,1287.4,0.705073918,11.54444444
2019,Northern Territory,1404.2,0.656671122,12.38888889
2019,Queensland,1217.05,0.811636464,11.71111111
2019,South Australia,1095,0.815281275,13.67777778
2019,Tasmania,1056.3,0.922897629,15.33333333
2019,Victoria,1218.75,0.762618996,12.72222222
2019,Western Australia,1322.95,0.855794643,14.27777778
2020,Australian Capital Territory,1509.3,0.721332613,10.98888889
2020,New South Wales,1316.85,0.707606467,11.61111111
2020,Northern Territory,1412.4,0.651710764,12.52222222
2020,Queensland,1246.15,0.812541242,11.87777778
2020,South Australia,1147.8,0.816233844,13.68888889
2020,Tasmania,1080.45,0.936831219,15.34444444
2020,Victoria,1289.75,0.764814551,12.63333333
2020,Western Australia,1385.8,0.855321949,14.43333333
2021,Australian Capital Territory,1527.8,0.737117451,11.04444444
2021,New South Wales,1350.25,0.719557593,11.87777778
2021,Northern Territory,1387.4,0.661386936,12.71111111
2021,Queensland,1281.8,0.824271393,12.08888889
2021,South Australia,1198.7,0.833372242,13.83333333
2021,Tasmania,1128.5,0.95406741,15.56666667
2021,Victoria,1277.8,0.775623524,12.88888889
2021,Western Australia,1435.85,0.862971744,14.47777778