Year,States,Average Income - Males,Average Income - Females,Average Income - Total
2016,New South Wales,1421.9,970.65,1195
2017,New South Wales,1443.8,996.3,1213.95
2018,New South Wales,1466.85,1041.9,1251.5
2019,New South Wales,1528.2,1057.75,1287.4
2020,New South Wales,1566.1,1084.9,1316.85
2021,New South Wales,1581,1127.5,1350.25
2016,Victoria,1314.2,892.25,1101.85
2017,Victoria,1344.45,934,1140.95
2018,Victoria,1393.9,963.8,1181
2019,Victoria,1428.75,1009.95,1218.75
2020,Victoria,1500.2,1085.1,1289.75
2021,Victoria,1530.7,1053.75,1277.8
2016,Queensland,1354.8,893.95,1119.6
2017,Queensland,1396.3,894.9,1134.35
2018,Queensland,1450.65,940.5,1183.35
2019,Queensland,1452.85,1000.75,1217.05
2020,Queensland,1486.25,1030,1246.15
2021,Queensland,1529.65,1050.4,1281.8
2016,South Australia,1267.9,844.65,1050.1
2017,South Australia,1285.85,879.9,1078.3
2018,South Australia,1265.8,897.2,1076.55
2019,South Australia,1307.7,911.6,1095
2020,South Australia,1331.95,979.25,1147.8
2021,South Australia,1386.8,1007.9,1198.7
2016,Western Australia,1636.5,963.55,1323.65
2017,Western Australia,1645.9,976.65,1332.85
2018,Western Australia,1641.9,966.8,1309.85
2019,Western Australia,1667.8,975.25,1322.95
2020,Western Australia,1726.3,1033.05,1385.8
2021,Western Australia,1796.45,1058.4,1435.85
2016,Tasmania,1163.25,786.2,966
2017,Tasmania,1227.45,827.15,1019.9
2018,Tasmania,1258.9,849.6,1042.25
2019,Tasmania,1274.35,865.2,1056.3
2020,Tasmania,1269.3,924.6,1080.45
2021,Tasmania,1305.95,967.15,1128.5
2016,Northern Territory,1650.2,1097.85,1392.55
2017,Northern Territory,1683.35,1143.5,1422.1
2018,Northern Territory,1613.55,1160.35,1382.95
2019,Northern Territory,1590.6,1221.7,1404.2
2020,Northern Territory,1577.85,1254,1412.4
2021,Northern Territory,1553.4,1220.4,1387.4
2016,Australian Capital Territory,1513.4,1217.5,1361.75
2017,Australian Capital Territory,1570.75,1225.75,1392.5
2018,Australian Capital Territory,1661.15,1259.65,1448.35
2019,Australian Capital Territory,1590.2,1306.05,1436.85
2020,Australian Capital Territory,1624.45,1407.05,1509.3
2021,Australian Capital Territory,1692.1,1378.7,1527.8